Index	OTU	2D_ID	Channel_ID	Bottle_ID	Site_ID	Site_ID_1	Plate_ID	Position	Longitude	Latitude	Altitude	Altitude_1	Location	Setup_Site_Date	Distribution	Method	Tag	Collection_Date_formatted	Collection_Date_formatted_1	Year	Month	Collector	Image_File	Reverse_Complement_for_Papara	Sumaclust_97_OTU
1006	GLGS8838-17|Chrysomelidae|132948514||Arthropoda|Insecta|Coleoptera|Chrysomelidae|||BOLD:ADJ1855	132948514	140022	2.0038	14002	14002	JULY_COLE05	B09	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_1523 
1007	TMS|2.0029|JunCole01-32.fas|	144580043	180012	2.0029	18001	18001	JUN_COLE01	C08	98.79670	25.29758	1823	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	20 Jun 2014	20 Jun 2014	2014	6	Zhiguang Yang	JUN_COLE159.jpg		OTU_0433 
1008	GLGS10424-17|Corylophidae|133680747||Arthropoda|Insecta|Coleoptera|Corylophidae|||BOLD:ADI3006	133680747	180022	2.0036	18002	18002	JUN_COLE14	H11	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0527 
1009	TMS|2.0033|Juncole09-63.fas|	144568731	140032	2.0033	14003	14003	JUN_COLE09	F03	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0003 
1010	TMS|2.0033|Juncole16-81.fas|	144568798	140032	2.0033	14003	14003	JUN_COLE16	G09	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0003 
1011	TMS|2.0034|Juncole14-41.fas|	144570334	140042	2.0034	14004	14004	JUN_COLE14	D05	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0003 
1012	GLGS10409-17|Throscidae|133680776||Arthropoda|Insecta|Coleoptera|Throscidae|||BOLD:ADJ4341	133680776	140032	2.0033	14003	14003	JUN_COLE14	F12	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0012 
1013	GLGS7373-17|Nitidulidae|143502175||Arthropoda|Insecta|Coleoptera|Nitidulidae|||BOLD:ADI9139	143502175	180022	2.0288	18002	18002	APR_COLE04	F07	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	17 Apr 2015	17 Apr 2015	2015	4	Zhiguang Yang			OTU_1055 
1014	TMS|2.0045|Julycole14-84.fas|	143521851	140032	2.0045	14003	14003	JULY_COLE14	G12	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	11 Jul 2014	11 Jul 2014	2014	7	Zhiguang Yang		Reversed	OTU_0853 
1015	TMS|2.0013|JunCole01-55.fas|	144579148	140012	2.0013	14001	14001	JUN_COLE01	E07	98.80348	25.30637	1402	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	06 Jun 2014	06 Jun 2014	2014	6	Zhiguang Yang	JUN_COLE153.jpg		OTU_0240 
1016	Julycole07-67	132945386	140022	2.0038	14002	14002	JULY_COLE07	F07	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0893 
1017	TMS|2.0045|Julycole13-68.fas|	143522258	140032	2.0045	14003	14003	JULY_COLE13	F08	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	11 Jul 2014	11 Jul 2014	2014	7	Zhiguang Yang			OTU_0474 
1018	TMS|2.0034|Juncole15-59.fas|	144570303	140042	2.0034	14004	14004	JUN_COLE15	E11	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0082 
1019	TMS|2.0045|Julycole13-04.fas|	143522757	140032	2.0045	14003	14003	JULY_COLE13	A04	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	11 Jul 2014	11 Jul 2014	2014	7	Zhiguang Yang			OTU_0065 
